Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	Slycopersicum<58>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	Mguttatus<60>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<59>	<29>	FRAX28<4>	FRAX06<22>	<5>
41	12	11	12	5	10	9	9	11	11	9	5	9	11	10	11	10	7	9	3	20	11	14	16	9	11	11	17	16	11	7	11	7	11	7	0	7	9	11	10	9	9	2	10	10	11	9	9	10	8	11	9	9	11	7	12	10	11	6	6	9
42	8	10	8	11	10	9	10	10	10	10	9	11	10	11	9	9	14	8	9	5	9	10	8	10	10	10	10	10	10	6	9	10	9	10	4	10	8	10	11	9	10	9	9	10	9	10	8	11	11	10	9	10	10	11	9	5	10	11	10	10
43	8	11	8	8	11	7	11	11	11	11	9	8	10	9	9	12	18	9	10	1	7	8	11	8	11	11	7	12	11	11	10	10	9	10	6	10	12	11	12	9	8	5	9	12	9	10	12	12	8	11	8	10	11	6	7	6	11	5	11	11
44	12	9	9	9	11	11	10	11	9	10	11	8	9	10	11	9	8	13	10	0	13	10	9	6	11	10	11	9	11	10	10	10	11	10	0	10	11	11	8	11	9	2	10	8	11	11	12	8	4	10	6	11	11	9	11	0	11	11	10	11
45	9	9	8	10	10	8	10	10	9	10	9	9	9	10	10	8	12	9	10	8	9	8	10	9	10	9	8	11	10	8	9	10	9	10	7	10	9	10	11	9	9	8	9	9	9	10	11	11	9	9	7	10	10	8	9	8	10	8	9	10
46	9	10	9	8	10	9	10	10	10	10	9	10	10	8	8	9	11	8	7	5	9	10	8	9	10	10	8	10	10	9	10	10	9	9	3	10	11	10	10	9	9	9	8	10	9	9	9	10	10	10	9	9	10	9	9	5	10	9	10	9
47	11	11	10	8	10	9	10	10	11	10	8	11	11	11	10	11	1	9	10	1	11	10	10	9	10	11	5	12	10	10	11	9	10	9	0	9	11	10	4	9	8	4	10	9	10	10	9	5	12	11	12	10	10	10	10	1	10	10	9	10
48	9	9	8	5	10	11	10	10	9	10	8	9	9	10	7	6	35	14	6	2	8	10	9	8	10	9	10	14	10	5	9	9	10	8	0	10	10	10	14	11	8	9	10	5	10	10	12	14	6	9	5	10	10	11	10	2	10	9	11	10
49	9	9	9	9	11	11	10	11	7	10	10	9	9	13	12	7	12	10	9	5	6	10	9	4	11	9	6	6	11	13	9	10	9	9	0	10	13	12	10	10	9	10	9	3	9	12	11	10	9	9	9	12	12	7	6	5	11	9	4	12
50	4	8	7	10	9	9	8	9	8	8	9	7	8	9	7	11	18	8	6	1	14	7	6	6	9	9	9	8	9	14	9	8	12	6	5	8	11	10	11	9	5	6	12	6	10	12	11	11	7	9	5	11	10	7	12	5	9	13	8	12
51	8	9	9	10	10	7	10	10	9	10	9	9	9	6	9	8	9	8	8	6	8	8	9	10	10	9	9	9	10	9	9	10	8	9	8	10	7	9	10	8	9	10	8	6	8	9	7	10	9	9	9	7	9	10	8	8	10	9	13	9
52	7	10	9	6	10	9	10	10	10	10	8	8	9	10	13	11	1	8	10	0	8	14	9	0	10	10	14	10	10	11	10	9	12	9	0	9	13	12	1	9	8	4	13	8	10	12	11	1	8	10	6	11	12	6	12	0	10	13	11	12
53	6	11	8	13	11	7	9	11	13	9	5	9	10	10	10	9	8	13	9	1	10	14	9	10	11	11	9	16	11	7	11	8	11	8	3	8	13	12	9	11	7	3	11	15	11	9	6	9	3	11	7	9	12	9	10	3	11	9	6	9
54	7	10	10	7	10	6	10	10	10	10	9	10	10	6	10	10	10	8	8	5	7	11	9	9	10	10	11	11	10	8	10	9	8	8	4	10	7	9	9	8	8	10	6	9	8	8	8	9	8	10	9	8	9	11	8	5	10	8	11	8
55	8	9	8	10	10	8	9	10	9	9	7	9	9	11	6	9	10	7	8	6	8	11	8	9	10	9	8	8	10	9	9	9	8	9	3	9	9	10	10	8	9	8	7	10	8	10	9	10	11	9	7	10	10	8	8	6	10	9	8	10
56	8	8	9	9	10	6	9	10	8	9	5	8	8	12	8	11	26	11	3	13	7	9	6	6	10	9	8	7	10	11	9	7	8	5	0	9	10	10	15	9	5	11	7	6	9	10	9	14	6	9	6	10	10	8	8	10	10	8	8	10
57	9	10	10	2	9	14	9	9	10	9	13	10	10	12	7	7	2	7	11	2	8	9	8	1	9	10	10	8	9	7	10	11	10	11	0	9	11	10	3	10	12	3	9	8	10	11	10	3	10	10	8	11	10	10	10	2	9	12	7	10
58	8	9	8	8	9	7	9	9	9	9	9	9	9	8	7	8	10	9	7	5	9	9	10	9	9	9	9	9	9	8	9	9	9	7	5	9	7	9	9	9	7	9	8	7	9	9	9	9	9	9	9	9	9	10	9	5	9	9	10	9
59	9	10	10	9	10	9	10	10	9	10	7	9	10	8	10	10	1	11	9	0	8	10	11	7	10	10	10	8	10	11	10	9	10	10	0	9	10	10	3	10	12	1	9	7	10	10	10	4	7	10	8	10	10	9	10	0	10	10	11	10
60	10	10	8	6	11	8	11	11	8	11	9	10	10	8	13	11	12	4	4	0	9	10	4	8	11	10	7	5	11	8	9	11	8	10	2	11	10	11	10	8	11	11	4	6	8	11	11	10	9	10	9	11	11	12	8	2	11	12	12	11
