# The labeled CAFE tree:	((((((((((((FRAX30<0>,FRAX32<2>)<1>,FRAX28<4>)<3>,FRAX12<6>)<5>,(FRAX07<8>,FRAX29<10>)<9>)<7>,FRAX08<12>)<11>,(((((FRAX01<14>,FRAX16<16>)<15>,FRAX15<18>)<17>,FRAX00<20>)<19>,(FRAX06<22>,FRAX23<24>)<23>)<21>,FRAX25<26>)<25>)<13>,FRAX21<28>)<27>,(((FRAX19<30>,FRAX20<32>)<31>,((FRAX11<34>,FRAX27<36>)<35>,FRAX04<38>)<37>)<33>,(((((FRAX03<40>,FRAX09<42>)<41>,FRAX13<44>)<43>,(FRAX26<46>,FRAX14<48>)<47>)<45>,FRAX05<50>)<49>,FRAX33<52>)<51>)<39>)<29>,FRAX31<54>)<53>,Oeuropea<56>)<55>,Mguttatus<58>)<57>,Slycopersicum<60>)<59>
FRAX16<16>:	27372[+3*],15366[+4*],2521[+2*],43784[+2*],41015[+2*],14557[+2*],2021[+2*],30546[+2*],5956[+2*],17480[+4*],31356[+2*],12889[+3*],532[+3*],7226[+2*],2291[+2*],2167[+2*],33716[+2*],16273[+2*],10412[+2*],26399[+1*],32432[+2*],35378[+2*],23229[+2*],11754[+2*],27849[+2*],41921[+3*],27754[+2*],6373[+2*],15350[+1*],7868[+2*],27320[+3*],2780[+3*],8909[+2*],5821[+2*],5890[+2*],31893[+2*],32616[+1*],25776[+1*],29040[+2*],20270[+1*],11045[+3*],42646[+2*],12277[+2*],40376[+1*],38366[+2*],31598[+1*],22741[+2*],9737[+1*],37502[+1*],9665[+1*],9811[+3*],4297[+1*],16421[+1*],32814[+1*],11180[+1*],10568[+1*],15159[+1*],42351[+1*],5240[+1*],26769[+3*],19126[+1*],139[-9*],17813[-7*],19154[-8*],2174[-5*],18876[-6*],21592[-5*],3873[-4*],12761[-6*],21394[-4*],20629[-5*],20355[-4*],38694[-3*],22563[-4*],14757[-5*],29930[-3*],26221[-4*],26111[-6*],11553[-4*],23733[-3*],3460[-6*],42497[-3*],5110[-3*],34923[-3*],42465[-6*],16013[-3*],20781[-5*],40049[-3*],7280[-3*],14242[-3*],18650[-5*],27290[-3*],42334[-3*],3615[-4*],41727[-3*],13052[-3*],11463[-3*],28974[-3*],7837[-3*],23258[-3*],11922[-4*],2056[-3*],39414[-2*],11230[-5*],32036[-3*],33631[-2*],23147[-3*],12901[-2*],23730[-3*],1187[-2*],27983[-3*],8301[-2*],43970[-4*],35528[-3*],22677[-2*],14436[-2*],29296[-3*],12938[-2*],22490[-2*],16072[-2*],40872[-2*],10950[-2*],35933[-3*],8302[-3*],24669[-3*],31787[-2*],18807[-2*],9072[-2*],7545[-2*],22646[-2*],6256[-2*],8112[-2*],959[-2*],17478[-2*],24565[-2*],29795[-2*],27655[-2*],12672[-2*],1383[-2*],13232[-2*],28088[-2*],18462[-2*],7410[-2*],17891[-2*],17158[-2*],7551[-2*],31030[-2*],43752[-2*],37250[-2*],16118[-2*],28553[-2*],14733[-3*],30806[-3*],41827[-2*],28815[-2*],26387[-2*],1492[-2*],6001[-2*],4561[-2*],2943[-2*],33764[-2*],21355[-2*],30925[-2*],39235[-2*],18490[-2*],25425[-2*],14655[-2*],40263[-2*],23433[-2*],39615[-2*],24181[-2*],4876[-2*]
<3>:	43198[+2*],11463[+2*],638[+2*],18155[+2*],30972[+2*],30965[+2*],17404[+1*],41494[+2*],264[+1*],2221[+1*],42351[+1*],5240[+2*],11922[-4*],11230[-3*],12901[-3*],1187[-4*],43970[-3*],26964[-2*],22646[-4*],21966[-3*],959[-4*],4999[-2*]
<47>:	17546[+2*],23588[+2*],26791[+2*],32365[+1*],41968[+1*],12850[+1*],32032[+1*],11230[-2*],988[-3*],30268[-2*],18155[-2*],7616[-2*],13232[-2*],16118[-2*],34220[-2*],22996[-2*],12701[-2*],27815[-2*]
FRAX23<24>:	2174[+6*],35124[+4*],19893[+5*],206[+6*],19190[+3*],43400[+3*],27754[+4*],11342[+2*],2780[+2*],10114[+2*],21355[+3*],32616[+2*],14500[+2*],22741[+2*],5877[+2*],38721[+2*],1581[+2*],14757[-9*],4544[-5*],35528[-4*],39686[-3*],31473[-3*],23066[-3*],9072[-3*],34737[-3*],42190[-3*],18462[-3*],7410[-3*]
FRAX31<54>:	14200[+6*],14557[+4*],2021[+4*],19652[+5*],31356[+4*],23300[+4*],23448[+4*],18638[+5*],29296[+5*],31548[+3*],41574[+4*],23151[-27*],43071[-29*]
<11>:	12698[+2*],38927[+1*],14318[+1*],27320[+1*],34967[+1*],28303[+1*],41461[+2*],34966[+1*],30477[+2*],10518[+1*],34579[+1*]
FRAX01<14>:	19154[+4*],2174[+3*],12100[+5*],26111[+3*],3460[+5*],27956[+3*],42465[+3*],3326[+3*],14510[+2*],4544[+2*],18650[+4*],27290[+2*],13052[+2*],28899[+2*],11463[+2*],27349[+4*],11922[+4*],11230[+3*],22559[+3*],33650[+2*],23147[+3*],12901[+4*],1187[+3*],7112[+2*],43970[+2*],33012[+3*],23420[+2*],29296[+3*],40872[+2*],31473[+2*],36846[+2*],43400[+2*],18155[+2*],23692[+2*],7046[+2*],6611[+2*],22646[+3*],959[+2*],17158[+3*],37899[+2*],39828[+3*],22836[+1*],37250[+2*],2899[+2*],16303[+1*],41281[+2*],6593[+2*],4137[+1*],42543[+1*],6827[+1*],19633[+1*],31374[+1*],36567[+1*],12850[+1*],18107[+1*],11450[+1*],43171[+1*],43871[+1*],23433[+2*],38691[+2*],43715[+4*],22740[+1*],5583[+1*],11535[+2*],39615[+4*],34579[+3*],38964[+1*],40947[+1*],4538[+1*],17669[+1*],5877[+2*],32394[+1*],31348[+1*],2221[+1*],42824[+1*],6801[+1*],31869[+1*],35065[+1*],39454[+1*],9569[-4*],28760[-4*],22195[-5*],124[-3*],26289[-3*],317[-3*],6264[-4*],14557[-3*],7407[-2*],16769[-4*],17480[-2*],23187[-3*],23300[-2*],39030[-2*],28368[-2*],750[-2*],29541[-4*],10412[-2*],5657[-2*],43013[-2*],36657[-2*],11496[-2*],43412[-2*],29603[-2*],39321[-2*],3507[-2*],31893[-2*],17153[-2*],16940[-2*],29746[-2*],7570[-2*],42646[-2*],13260[-4*],20452[-2*],38366[-2*],17970[-2*],1581[-2*]
FRAX09<42>:	23151[+9*],2065[+8*],43071[+6*],43418[+8*],14898[+7*],22607[+3*],2174[+4*],10831[+4*],18876[+3*],336[+3*],18737[+8*],30792[+5*],20122[+4*],3873[+5*],38810[+3*],12751[+3*],19560[+5*],20629[+5*],17937[+3*],20752[+3*],20355[+3*],27952[+8*],38694[+4*],9569[+3*],5582[+4*],5726[+4*],43943[+3*],14757[+3*],3399[+2*],35124[+2*],29930[+2*],42747[+6*],35214[+4*],36691[+3*],22290[+2*],42702[+2*],11553[+3*],14200[+3*],15765[+5*],9684[+3*],2257[+5*],26063[+2*],31613[+2*],39919[+10*],14060[+4*],33451[+2*],34923[+2*],42465[+2*],38508[+7*],26926[+3*],16013[+4*],18670[+2*],15074[+2*],29816[+2*],18821[+2*],22365[+3*],7075[+3*],42334[+2*],37187[+3*],32762[+3*],3615[+2*],41727[+2*],30871[+2*],21364[+2*],41321[+2*],2684[+2*],43988[+2*],34909[+2*],43968[+2*],37086[+2*],5867[+3*],2056[+2*],32970[+2*],29460[+3*],33650[+5*],23147[+2*],27983[+2*],988[+3*],29370[+2*],5956[+2*],1118[+2*],925[+4*],5949[+2*],1012[+2*],30268[+2*],29951[+3*],35528[+3*],23300[+2*],18866[+4*],6445[+3*],27912[+2*],30439[+3*],39686[+2*],22677[+2*],7883[+3*],22490[+3*],6011[+5*],18763[+3*],10950[+2*],2291[+3*],4997[+2*],31787[+2*],25799[+2*],10525[+4*],9072[+3*],22332[+2*],4091[+2*],7046[+1*],30075[+2*],40436[+2*],34737[+1*],2346[+2*],9596[+2*],477[+3*],29795[+4*],31930[+2*],36453[+2*],26061[+3*],4749[+2*],32044[+2*],18462[+2*],7551[+2*],39828[+1*],43752[+1*],43412[+2*],38561[+2*],42219[+2*],28553[+1*],1417[+4*],12949[+2*],9501[+2*],26387[+2*],30370[+1*],500[+3*],8022[+1*],2943[+2*],39321[+1*],37164[+1*],8459[+2*],10575[+2*],34496[+3*],8496[+1*],39038[+2*],33764[+2*],10114[+1*],21355[+2*],5890[+2*],15393[+2*],3060[+3*],39099[+2*],17153[+3*],511[+1*],31365[+3*],4137[+1*],6760[+1*],18490[+2*],35078[+1*],34841[+1*],29746[+1*],12640[+1*],40376[+1*],32506[+2*],6827[+2*],20452[+1*],41526[+2*],25425[+1*],7187[+1*],3482[+2*],33279[+1*],14655[+2*],30633[+1*],22396[+1*],28287[+2*],9471[+2*],12850[+1*],6814[+1*],5145[+1*],3186[+1*],39950[+1*],43171[+1*],42110[+1*],43871[+1*],43715[+1*],5583[+1*],8293[+1*],29469[+2*],42457[+2*],4737[+1*],40723[+1*],36980[+1*],38964[+1*],19796[+1*],40947[+1*],7521[+1*],5131[+1*],43101[+1*],1975[+1*],11825[+1*],41284[+1*],6960[+1*],23286[+1*],23654[+1*],24082[+1*],3149[+1*],10187[+2*],19154[-5*],25540[-7*],21592[-3*],15461[-5*],41985[-4*],28760[-3*],2643[-4*],5010[-4*],15686[-12*],24502[-3*],19168[-4*],33885[-2*],18[-8*],20781[-2*],34029[-3*],17408[-3*],34593[-3*],36637[-2*],2521[-2*],43784[-3*],6264[-3*],14242[-2*],10882[-4*],37606[-2*],25921[-4*],20701[-3*],26215[-2*],25122[-2*],13568[-2*],28899[-3*],24698[-2*],12434[-3*],4950[-4*],28840[-2*],11922[-2*],638[-2*],23588[-3*],14375[-2*],39414[-3*],834[-3*],22559[-6*],159[-3*],16769[-3*],32142[-3*],12901[-2*],15665[-2*],40330[-4*],31356[-2*],33012[-2*],23420[-2*],12889[-3*],26964[-2*],29296[-2*],25791[-3*],7226[-3*],9564[-2*],12251[-3*],34881[-2*],32263[-2*],15132[-2*],2167[-4*],19085[-2*],33716[-3*],4304[-3*],16273[-4*],36584[-2*],21966[-2*],24565[-2*],33026[-3*],5985[-2*],23229[-2*],23435[-2*],1383[-2*],31276[-2*],8635[-2*],26264[-2*],43352[-3*],6582[-2*],10933[-2*],20801[-3*],21793[-2*],7385[-2*],11287[-3*],34687[-2*],15052[-3*],22836[-3*],36657[-2*],12932[-2*],43170[-2*],11342[-2*],459[-3*],1492[-2*],42674[-2*],22996[-2*],3507[-2*],7868[-2*],33759[-2*],8909[-3*],26815[-2*],16303[-2*],8760[-2*],18260[-2*],9329[-3*],1942[-2*],3750[-2*],6532[-3*],42543[-2*],40881[-2*],43579[-2*],17404[-3*],34966[-2*],31598[-2*],14500[-2*],25[-2*],18473[-2*],9301[-2*],31348[-2*]
FRAX19<30>:	12401[+6*],2174[+5*],27372[+6*],18737[+5*],34314[+4*],27952[+5*],5726[+5*],3399[+4*],39919[+8*],32484[+5*],35593[+4*],36637[+4*],19893[+4*],193[+7*],43477[+3*],39414[+3*],32970[+3*],38169[+3*],30321[+4*],7883[+3*],6011[+3*],18763[+5*],35933[+5*],9564[+3*],5359[+7*],27269[+3*],13232[+3*],28088[+5*],37348[+4*],43752[+2*],40486[+3*],1417[+2*],12949[+2*],9501[+2*],30417[+4*],28815[+3*],6373[+3*],39038[+3*],39739[+2*],41281[+2*],5890[+2*],28303[+2*],6760[+3*],17404[+2*],40376[+2*],28287[+2*],6814[+2*],15686[-5*],9669[-3*],33026[-3*],12932[-3*]
<13>:	40330[+2*],7406[+3*],29541[+3*],23692[+2*],32432[+4*],10933[+2*],17158[+2*],19051[+3*],14733[+2*],18260[+2*],33788[+2*]
