Family ID	FRAX08<12>	<33>	FRAX05<50>	FRAX25<26>	Mguttatus<58>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
18737	27	30	23	25	1	27	20	26	27	30	26	26	31	31	24	23	23	19	28	21	17	23	24	28	27	29	32	35	27	22	26	24	24	22	24	27	26	23	25	22	11	22	23	25	12	5	25	22	24	29	27	35	24	26	32	24	27	27	28	25
2710	21	25	25	22	24	25	22	25	26	25	25	19	25	25	22	22	26	36	27	21	25	25	23	24	25	25	25	23	25	17	25	24	25	23	25	20	24	33	25	24	27	25	23	25	37	27	23	23	32	22	25	23	23	24	26	25	26	23	26	23
2302	17	22	29	18	11	24	23	25	24	22	25	27	20	22	25	21	20	23	30	23	24	26	23	17	24	23	28	23	24	23	27	25	29	24	25	25	25	24	28	24	25	32	17	28	21	13	25	22	24	19	24	18	25	25	19	28	24	27	27	25
26920	19	23	19	24	11	25	24	25	25	23	25	28	23	23	25	20	23	15	17	27	19	26	20	25	25	23	26	23	25	22	23	26	24	27	25	23	25	24	22	26	20	25	18	23	27	27	25	25	24	20	23	22	25	25	24	24	25	24	23	25
21592	23	23	25	15	7	24	24	24	25	23	24	20	21	22	26	20	17	65	27	15	29	23	23	17	24	23	25	26	24	17	25	22	28	20	24	24	24	35	26	21	28	29	16	27	20	7	25	24	33	18	23	15	25	24	21	28	25	26	26	24
19101	25	23	19	19	35	25	15	24	25	23	24	18	24	23	27	23	22	27	24	21	23	30	22	20	25	23	22	23	25	21	22	22	22	22	23	21	26	28	22	23	22	20	19	22	31	7	25	29	28	23	23	22	27	26	25	22	25	21	23	25
43898	20	22	21	18	16	24	22	23	25	22	23	22	22	22	23	25	21	31	22	20	23	25	19	21	24	22	23	19	24	22	22	23	23	22	23	20	24	29	22	22	23	24	21	22	31	26	25	25	29	20	22	19	25	24	23	23	25	26	22	24
8907	22	23	24	21	15	24	22	22	26	23	22	21	22	23	21	28	20	63	24	18	20	23	15	25	24	23	21	20	24	20	23	22	21	21	22	23	23	40	23	22	23	20	23	23	31	16	21	20	38	17	23	19	21	23	23	21	26	22	20	21
42109	19	20	18	19	22	23	17	23	23	20	23	19	19	20	18	19	22	42	22	21	20	20	23	17	23	20	18	18	23	21	20	23	19	23	23	24	22	35	20	25	23	19	20	20	49	60	20	21	33	20	20	18	20	22	17	19	23	17	21	21
24058	25	24	21	20	17	25	23	24	25	23	24	19	25	24	19	21	25	29	22	16	17	26	22	25	25	24	22	20	25	22	23	21	22	18	23	22	24	29	23	18	25	22	18	23	29	20	21	22	29	23	24	22	21	24	27	22	25	21	26	22
30792	21	24	18	19	19	24	15	24	25	24	24	15	25	24	22	23	21	24	20	21	17	26	20	23	24	24	25	25	24	21	21	23	20	23	24	22	24	27	19	24	27	18	20	20	28	16	22	22	27	24	22	23	22	24	26	20	25	21	26	22
19954	17	24	25	21	10	22	22	22	23	24	22	20	24	24	20	22	22	22	26	21	24	21	18	23	22	24	25	21	22	16	25	22	25	21	22	18	21	24	25	21	25	26	22	25	23	17	20	20	24	22	24	22	20	21	24	25	23	19	19	20
38515	20	23	19	17	18	24	22	24	24	23	24	20	22	23	23	18	23	20	19	19	18	23	24	23	24	23	21	21	24	20	22	22	21	19	24	30	25	24	21	19	26	21	23	21	25	14	23	24	24	21	23	22	23	25	22	21	24	19	24	23
607	19	24	20	18	20	23	18	23	24	24	23	18	24	24	24	22	22	25	22	24	19	23	21	23	23	24	23	22	23	18	22	23	21	24	23	16	22	26	21	25	23	21	22	21	27	14	23	21	26	20	23	24	23	22	27	21	24	23	22	22
20122	23	23	20	19	9	23	22	23	23	22	23	20	23	23	22	18	25	36	20	21	19	24	19	25	23	23	25	23	23	21	22	23	21	23	23	20	22	30	21	24	23	20	16	21	23	14	21	19	30	22	23	22	21	22	24	21	24	19	24	21
3873	21	19	19	21	0	25	21	24	25	18	23	24	18	19	26	23	21	47	25	20	17	27	19	14	25	20	26	18	25	24	20	25	21	24	25	30	27	29	22	25	28	20	10	21	13	5	26	24	28	17	20	18	26	27	16	21	25	25	18	26
38810	20	23	24	22	13	22	23	22	23	23	22	20	23	23	22	19	22	34	25	18	18	21	19	20	22	23	26	22	22	18	24	22	23	21	22	20	21	27	24	23	24	22	20	24	21	7	20	17	27	21	23	20	20	21	24	23	23	20	20	20
12751	23	23	23	22	13	24	18	23	24	23	23	18	20	23	19	23	21	23	21	20	19	22	18	20	24	23	24	25	24	25	23	21	21	21	22	23	23	24	21	22	22	19	22	21	22	12	19	17	24	17	23	23	19	23	20	21	24	18	25	22
8919	25	20	20	19	10	22	20	21	22	20	21	20	18	20	27	14	17	32	24	20	23	19	18	16	23	20	24	21	22	25	21	21	22	20	21	27	24	25	22	17	20	21	17	22	20	10	25	24	25	15	20	16	25	24	18	23	22	22	21	25
12761	21	19	22	20	2	23	16	22	23	18	21	18	18	19	26	19	19	52	26	12	18	21	17	13	23	20	16	15	23	29	20	20	17	18	22	28	25	32	20	20	28	14	17	19	24	22	27	23	30	16	20	15	26	25	18	17	23	28	16	27
32002	18	23	22	19	9	22	21	21	22	23	21	20	23	23	23	20	21	20	21	19	23	31	17	22	22	23	20	26	22	15	22	21	21	20	21	23	24	22	21	20	21	20	21	21	18	10	21	21	22	20	22	19	21	23	25	21	22	20	20	21
26288	17	21	18	19	19	21	19	21	22	21	21	19	20	21	21	22	20	26	21	17	18	21	20	21	21	21	20	20	21	18	20	20	19	19	21	21	21	26	20	19	26	19	21	20	27	16	20	22	26	20	21	21	21	21	19	19	22	16	19	20
40969	18	23	22	20	6	22	18	21	23	23	21	19	23	23	21	19	23	24	20	19	19	21	18	21	22	23	20	22	22	21	22	20	21	19	21	22	22	24	20	17	20	21	19	21	18	12	21	20	24	23	23	24	21	22	22	20	23	20	20	21
