Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Oeuropea	Mguttatus	Slycopersicum
JSG27516	27516	18	16	15	17	18	17	15	16	15	16	14	16	17	18	18	16	19	15	17	16	15	16	16	16	19	15	17	16	24	7	5
JSG14339	14339	15	16	17	16	15	17	13	13	19	20	15	16	19	16	16	17	19	16	21	17	19	15	17	17	13	16	15	21	16	7	8
JSG34827	34827	19	18	17	17	15	17	16	17	17	20	13	16	16	14	13	18	13	15	14	15	18	19	14	18	14	17	15	16	20	11	12
JSG28796	28796	16	16	12	13	19	16	14	17	16	15	14	15	13	16	15	13	18	15	16	16	14	16	16	16	19	18	16	19	26	9	13
JSG38694	38694	19	15	15	16	17	18	17	15	21	20	15	16	16	13	12	19	12	13	14	14	17	16	17	15	17	15	13	18	22	9	13
JSG40648	40648	18	17	17	16	19	18	19	14	19	16	14	16	14	15	15	17	14	17	17	17	17	15	15	16	16	15	16	14	20	10	3
JSG39434	39434	17	16	17	18	13	17	16	15	16	16	12	17	16	15	17	15	13	16	15	14	18	16	13	16	16	16	17	17	19	10	11
JSG01681	1681	18	17	18	15	17	17	15	15	15	17	13	17	17	17	13	17	15	14	15	13	17	17	15	15	15	16	13	20	18	9	10
JSG12100	12100	20	26	16	12	12	21	14	22	14	11	19	13	16	19	19	10	11	10	16	14	14	10	18	20	21	11	19	13	13	11	11
JSG00933	933	19	14	16	16	17	17	16	15	17	18	16	16	14	16	14	18	16	14	13	14	15	18	13	16	17	16	18	17	18	4	7
JSG26158	26158	18	16	15	16	15	14	14	15	14	14	18	13	16	21	16	13	17	16	17	19	15	14	16	14	18	15	18	15	15	8	7
JSG05317	5317	17	15	12	16	13	16	16	14	16	16	13	17	15	14	15	14	16	16	14	14	15	16	17	13	17	16	15	16	23	11	20
JSG34859	34859	14	16	16	15	17	15	17	17	18	17	13	17	15	18	12	17	14	12	15	18	16	18	16	19	14	16	17	16	7	10	13
JSG32683	32683	17	16	16	15	15	17	17	15	16	17	11	16	14	15	15	15	15	15	15	18	13	16	17	15	16	16	18	15	24	7	7
JSG23773	23773	13	14	17	12	18	14	14	13	18	13	14	18	18	12	12	14	14	22	15	13	22	13	16	14	11	16	15	16	20	16	18
JSG09569	9569	24	10	12	15	13	15	17	13	18	16	12	15	9	10	15	15	16	19	15	16	12	16	13	19	12	15	14	13	34	21	24
JSG18204	18204	19	16	15	17	16	17	17	13	18	18	15	17	14	13	11	16	12	14	14	15	15	19	15	14	16	16	17	17	21	10	9
JSG23159	23159	21	14	13	16	14	13	15	15	16	15	16	14	16	14	16	16	12	15	16	15	15	14	15	15	16	15	16	17	33	6	10
JSG05582	5582	15	12	18	16	17	14	17	19	22	16	14	14	16	15	11	17	15	15	15	14	17	15	15	18	18	13	19	18	14	7	11
JSG24398	24398	15	15	18	17	15	15	14	13	15	15	15	16	15	14	16	15	15	15	15	17	15	16	15	14	13	17	13	15	16	9	9
JSG20656	20656	16	17	17	14	14	14	13	16	15	13	14	16	15	15	15	14	19	19	13	15	17	13	16	16	17	16	16	15	16	9	10
JSG01824	1824	16	13	14	15	16	16	16	15	16	17	14	14	14	15	12	19	13	15	13	13	17	17	16	16	16	15	17	16	15	8	14
JSG33310	33310	17	16	13	14	15	15	17	13	17	17	15	17	15	13	16	17	14	13	15	15	16	15	14	13	14	17	16	15	19	10	14
JSG02320	2320	16	14	15	16	17	16	15	14	17	16	15	16	14	14	14	16	16	17	15	17	17	14	15	17	12	18	13	17	13	6	7
JSG07815	7815	13	20	15	11	18	17	14	13	15	14	17	14	13	17	18	12	13	14	14	13	18	12	19	16	16	14	17	12	17	19	5
JSG11874	11874	15	16	16	12	18	15	16	16	14	15	17	16	15	14	16	13	13	13	15	17	16	14	19	20	18	13	18	15	11	8	4
JSG22563	22563	15	18	17	10	18	21	16	14	16	12	16	18	18	19	13	13	10	17	14	17	15	13	12	18	16	12	19	18	13	5	5
JSG05726	5726	9	10	13	15	13	15	13	13	19	18	13	15	15	10	14	22	14	8	13	13	14	17	17	17	12	14	18	18	42	3	3
JSG09729	9729	18	13	14	14	15	14	13	13	15	17	13	14	14	15	14	15	13	13	15	13	15	10	14	15	16	14	14	15	21	18	15
JSG18384	18384	13	14	13	11	14	14	13	17	14	12	14	14	16	15	16	16	14	14	16	15	16	14	14	17	17	14	16	11	23	15	10
JSG07449	7449	12	17	18	13	16	14	15	14	14	14	14	15	14	16	15	15	17	14	16	14	16	12	15	16	15	17	14	16	18	8	7
JSG43943	43943	20	16	10	13	15	16	15	15	17	14	16	13	13	15	15	20	17	17	15	11	16	15	13	14	15	15	14	15	13	8	12
JSG05353	5353	19	15	12	17	12	15	16	13	17	18	14	12	13	15	13	16	13	17	15	13	14	16	15	14	14	17	16	14	14	12	10
JSG30928	30928	17	16	14	15	15	13	15	16	14	13	16	11	12	15	16	13	13	12	14	13	14	15	16	17	13	12	16	14	13	11	20
JSG33554	33554	16	13	15	16	13	15	16	15	17	16	13	17	13	14	13	14	14	13	15	13	12	15	14	15	14	13	15	13	23	10	10
JSG19599	19599	16	15	14	15	13	15	17	14	14	16	13	14	14	14	14	14	14	15	13	13	16	14	15	13	15	12	15	13	20	9	14
JSG08580	8580	15	12	16	14	18	14	15	14	15	15	13	15	16	15	14	15	15	13	13	14	15	12	17	17	15	15	14	17	13	8	7
JSG41985	41985	18	13	18	12	16	17	19	18	11	12	14	15	13	12	16	14	13	16	11	18	19	14	20	19	13	11	17	10	14	7	10
JSG31599	31599	15	19	13	15	15	16	13	16	14	15	15	13	14	16	18	14	11	12	17	14	17	13	15	15	13	13	13	14	17	7	6
JSG28760	28760	16	13	14	15	13	13	10	16	11	11	17	15	14	18	19	13	16	15	16	16	13	16	17	17	14	13	16	16	12	9	6
JSG17325	17325	18	13	16	15	15	16	15	14	15	13	11	15	12	12	13	18	16	15	12	13	18	14	17	15	13	10	13	18	23	5	6
JSG32773	32773	16	15	15	16	14	15	16	15	15	15	15	14	13	13	13	16	16	16	12	12	15	17	15	16	16	15	13	16	14	6	8
JSG12738	12738	13	16	16	14	13	16	13	16	15	15	14	15	12	15	13	15	12	15	15	13	12	15	13	14	13	13	14	17	16	11	10
JSG24425	24425	13	12	15	15	15	14	13	12	15	15	14	15	14	9	9	14	13	13	13	14	16	16	14	14	15	14	13	14	20	19	15
JSG17531	17531	13	13	13	15	15	14	13	10	14	17	13	14	13	13	13	21	11	13	13	13	15	13	14	14	13	13	15	13	11	24	17
JSG02322	2322	16	14	13	14	17	14	14	13	14	13	13	14	14	13	16	14	15	15	15	14	15	16	16	15	16	14	15	14	20	6	7
JSG14757	14757	13	18	14	12	8	20	15	17	17	16	11	9	12	16	11	15	10	9	7	18	8	13	13	22	22	16	13	14	42	1	8
JSG03399	3399	20	16	9	15	16	15	17	12	16	17	12	13	13	14	13	19	10	13	14	11	14	12	15	13	14	16	15	16	17	9	11
JSG42733	42733	12	15	16	14	18	14	16	12	14	13	15	18	14	13	14	13	16	14	14	13	16	16	14	17	16	11	14	14	18	7	6
JSG43164	43164	15	14	14	14	13	16	14	14	15	15	13	14	13	14	14	15	14	13	13	14	13	15	14	14	14	14	15	16	17	8	11
JSG36495	36495	10	12	18	11	14	14	12	12	15	12	11	13	14	11	14	20	13	12	12	9	16	13	9	16	11	14	13	11	23	20	27
JSG00869	869	17	13	16	11	12	17	16	14	17	15	13	13	13	13	13	16	13	13	13	14	15	14	17	12	17	15	16	16	13	9	6
JSG04977	4977	12	16	13	14	17	17	14	13	17	12	15	15	14	14	14	13	13	11	13	16	15	13	12	15	11	14	13	14	16	4	10
JSG35124	35124	10	15	17	15	17	16	17	12	19	15	13	14	14	10	16	15	15	17	20	14	13	12	17	17	15	8	16	14	9	3	4
JSG37677	37677	16	15	12	12	15	14	14	14	16	17	12	12	13	15	12	16	12	16	14	11	12	15	14	15	16	15	14	14	14	9	9
JSG34835	34835	14	15	12	15	14	13	13	12	12	18	15	14	17	15	10	14	14	13	12	15	13	15	14	13	14	13	13	16	22	5	7
JSG28848	28848	16	11	13	13	14	16	14	12	16	18	16	13	11	13	12	17	13	14	15	13	14	16	13	12	13	14	16	15	17	8	9
JSG34839	34839	14	13	15	13	17	14	14	13	14	14	15	15	17	13	12	11	12	14	13	10	17	13	15	15	14	12	14	15	14	7	4
JSG42314	42314	13	14	12	14	12	15	15	14	14	16	15	11	15	14	12	13	14	13	12	13	15	16	13	13	14	15	15	13	16	9	11
JSG05803	5803	3	16	19	14	13	15	18	15	20	13	20	16	12	15	13	18	16	18	13	15	16	8	13	13	20	9	13	13	9	2	4
JSG26755	26755	11	12	13	15	13	13	13	14	13	13	17	12	14	14	16	11	16	11	11	18	11	13	13	15	15	11	16	12	15	10	8
JSG37854	37854	13	14	11	12	14	13	12	17	12	12	15	15	13	13	14	12	12	12	15	13	11	14	14	15	14	14	14	16	16	7	10
JSG29930	29930	16	15	9	14	14	15	15	14	16	16	14	14	13	9	10	17	10	15	13	14	12	15	16	9	15	17	17	17	17	7	5
JSG42747	42747	15	13	13	8	13	12	13	12	21	7	14	15	14	10	11	13	15	15	14	12	16	9	16	14	13	12	14	20	28	2	1
JSG04930	4930	15	17	12	9	10	12	14	19	10	8	18	13	11	19	19	8	11	13	14	15	13	12	15	14	19	9	18	13	14	6	6
JSG05679	5679	8	12	13	11	12	14	12	14	12	11	13	13	13	14	12	13	13	10	13	13	13	11	11	14	12	11	13	16	8	49	4
JSG33069	33069	14	16	15	10	15	16	14	13	14	12	13	18	12	15	13	15	14	20	14	13	15	11	13	14	14	12	13	12	8	3	5
JSG26221	26221	12	16	15	15	17	15	14	12	12	16	13	14	13	12	10	11	13	13	15	12	13	13	13	14	12	12	10	15	19	6	9
JSG35214	35214	16	12	14	11	11	11	14	14	19	13	15	13	9	10	11	16	13	15	12	12	12	11	12	13	14	13	15	14	21	10	17
