Desc	Family ID	FRAX00	FRAX01	FRAX03	FRAX04	FRAX05	FRAX06	FRAX07	FRAX08	FRAX09	FRAX11	FRAX12	FRAX13	FRAX14	FRAX15	FRAX16	FRAX19	FRAX20	FRAX21	FRAX23	FRAX25	FRAX26	FRAX27	FRAX28	FRAX29	FRAX30	FRAX31	FRAX32	FRAX33	Mguttatus	Oeuropea	Slycopersicum
OG0007640	7640	2	1	2	1	2	1	2	1	2	1	2	1	1	1	1	2	1	2	1	1	1	1	1	3	1	0	2	1	15	1	0
OG0016772	16772	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	2	1	1
OG0015670	15670	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0020382	20382	0	1	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	1	1	1	0	2	0	0	0	0
OG0011119	11119	1	2	1	2	1	1	2	2	0	0	1	1	2	2	1	1	2	1	2	0	1	1	2	2	1	2	1	1	0	1	0
OG0004683	4683	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	3	1
OG0021709	21709	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OG0018877	18877	0	0	1	0	2	0	0	1	0	0	1	1	1	0	1	2	1	1	0	1	1	0	1	2	1	0	0	1	0	2	0
OG0023774	23774	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0008634	8634	2	1	1	2	1	1	3	2	2	2	2	1	2	1	1	1	1	1	1	0	2	2	2	1	2	2	2	2	1	3	2
OG0014981	14981	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
OG0019187	19187	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	1
OG0016923	16923	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	2	1
OG0007084	7084	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	1	2	2	2	2	2	2	1	1	2
OG0005903	5903	3	1	2	0	1	2	2	1	2	2	1	0	2	2	1	2	2	2	0	1	2	1	1	1	2	2	2	2	6	5	3
OG0010981	10981	1	0	2	2	1	1	1	1	2	2	1	2	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	1	0	0	0
OG0025778	25778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
OG0011316	11316	2	1	0	1	1	0	1	1	1	1	1	1	1	1	2	0	2	1	0	1	3	0	3	2	2	1	3	1	0	1	0
OG0002634	2634	2	3	1	2	1	2	3	3	4	3	3	2	3	2	3	3	2	3	3	2	1	3	3	2	3	4	3	2	1	5	1
OG0023697	23697	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
OG0027322	27322	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0016035	16035	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	3	1	0
OG0022404	22404	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0000037	37	10	9	8	11	9	12	11	10	10	11	10	9	8	10	10	10	9	9	10	8	10	10	11	8	9	11	8	11	5	11	6
OG0024426	24426	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OG0015511	15511	3	1	1	1	1	1	1	0	1	1	1	2	1	2	1	1	0	2	1	0	2	2	0	0	0	0	1	2	0	0	0
OG0006171	6171	3	3	2	0	0	1	0	3	0	0	1	1	2	2	4	0	2	2	4	1	0	2	3	4	2	2	1	1	2	5	1
OG0003964	3964	1	2	1	2	2	1	3	2	1	3	1	1	1	1	1	3	2	1	2	2	2	2	2	3	2	2	3	1	3	6	1
OG0025738	25738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
OG0022008	22008	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
OG0011922	11922	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	2	1	1
OG0000232	232	3	7	4	4	10	10	5	5	9	4	9	6	6	9	7	4	4	4	9	3	4	7	5	7	4	2	7	2	2	2	3
OG0009643	9643	1	2	2	1	1	2	2	1	2	2	1	1	2	0	1	2	1	2	2	0	2	2	1	1	2	2	1	2	1	3	1
OG0024128	24128	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OG0006200	6200	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	0
OG0014776	14776	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0
OG0001101	1101	4	3	4	4	4	4	4	4	4	4	4	3	4	3	3	4	3	1	4	3	3	4	3	4	4	3	3	4	3	4	1
OG0009303	9303	2	1	2	2	1	2	2	1	2	2	1	1	2	1	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	4	1
