Family ID	<61>	FRAX08<12>	<33>	FRAX05<50>	Mguttatus<62>	FRAX25<26>	<25>	FRAX14<48>	<21>	<27>	<31>	<23>	FRAX15<18>	<35>	<37>	empty<58>	FRAX32<2>	FRAX21<28>	FRAX33<52>	Oeuropea<56>	FRAX26<46>	FRAX16<16>	FRAX03<40>	FRAX07<8>	FRAX23<24>	FRAX31<54>	<11>	<39>	FRAX09<42>	FRAX19<30>	<13>	FRAX12<6>	<49>	<17>	<43>	<15>	<19>	FRAX29<10>	<9>	<55>	<47>	FRAX01<14>	FRAX00<20>	FRAX13<44>	FRAX20<32>	<45>	<57>	Slycopersicum<60>	<3>	FRAX30<0>	<53>	FRAX27<36>	<51>	FRAX04<38>	<1>	<7>	FRAX11<34>	<41>	<29>	FRAX28<4>	FRAX06<22>	<5>
35636	3	23	33	32	4	24	29	24	26	33	31	26	19	27	33	0	22	25	30	22	29	15	36	26	23	27	30	34	35	27	30	26	34	20	34	17	21	25	29	37	29	17	10	29	23	34	1	3	26	25	37	24	34	30	25	29	21	35	34	26	25	27
18737	3	27	35	23	1	25	32	20	29	34	35	29	26	33	35	0	24	23	23	19	28	21	17	23	24	28	32	35	32	35	32	22	30	26	28	22	26	27	29	37	28	22	11	22	23	29	1	5	27	22	37	29	32	35	25	29	32	28	35	27	28	27
2710	25	21	28	25	24	22	29	22	28	30	27	28	19	27	28	0	22	22	26	36	27	21	25	25	23	24	29	28	25	23	29	17	28	26	26	24	28	20	26	41	27	24	27	25	23	27	6	27	23	23	40	22	28	23	23	26	26	25	31	23	26	23
2302	12	17	26	29	11	18	29	23	29	30	25	29	27	22	25	0	25	21	20	23	30	23	24	26	23	17	29	29	28	23	29	23	30	28	30	24	29	25	28	32	30	24	25	32	17	30	3	13	27	22	32	19	29	18	26	28	19	28	30	27	27	27
26920	18	19	26	19	11	24	28	24	28	28	25	27	28	25	26	0	25	20	23	15	17	27	19	26	20	25	28	26	26	23	28	22	25	28	25	27	28	23	27	31	24	26	20	25	18	25	5	27	25	25	31	20	26	22	25	27	24	25	28	24	23	25
21592	7	23	27	25	7	15	29	24	28	32	26	28	20	22	25	0	26	20	17	65	27	15	29	23	23	17	29	29	25	26	29	17	29	25	29	21	28	24	27	63	27	21	28	29	16	29	2	7	26	24	58	18	29	15	26	27	21	29	34	26	26	26
19101	20	25	26	19	35	19	28	15	26	30	25	26	18	25	26	0	27	23	22	27	24	21	23	30	22	20	29	26	22	23	29	21	24	24	23	23	25	21	29	34	24	23	22	20	19	24	5	7	28	29	34	23	25	22	28	29	25	23	30	21	23	28
43898	20	20	24	21	16	18	27	22	25	29	23	25	22	23	24	0	23	25	21	31	22	20	23	25	19	21	28	24	23	19	28	22	24	24	24	22	25	20	27	37	23	22	23	24	21	24	5	26	26	25	36	20	24	19	25	27	23	23	29	26	22	26
8907	15	22	26	24	15	21	27	22	25	32	25	24	21	23	25	0	21	28	20	63	24	18	20	23	15	25	28	26	21	20	28	20	25	24	21	22	25	23	26	63	24	22	23	20	23	24	4	16	22	20	59	17	25	19	21	26	23	21	33	22	20	23
42109	39	19	23	18	22	19	26	17	25	27	22	25	19	21	23	0	18	19	22	42	22	21	20	20	23	17	26	23	18	18	26	21	22	25	20	25	25	24	25	43	22	25	23	19	20	22	10	60	21	21	41	20	23	18	21	25	17	20	28	17	21	22
24058	18	25	27	21	17	20	28	23	27	29	25	27	19	27	27	0	19	21	25	29	22	16	17	26	22	25	28	27	22	20	28	22	25	23	22	18	26	22	27	37	23	18	25	22	18	23	5	20	22	22	37	23	26	22	22	27	27	22	30	21	26	24
30792	17	21	26	18	19	19	28	15	27	29	26	27	15	26	26	0	22	23	21	24	20	21	17	26	20	23	28	26	25	25	28	21	23	25	22	24	27	22	27	33	20	24	27	18	20	22	4	16	22	22	33	24	25	23	22	27	26	22	29	21	26	23
19954	13	17	26	25	10	21	26	22	25	27	25	24	20	25	26	0	20	22	22	22	26	21	24	21	18	23	25	26	25	21	26	16	26	24	26	22	25	18	23	32	26	21	25	26	22	26	3	17	20	20	32	22	26	22	20	23	24	25	28	19	19	20
38515	16	20	25	19	18	17	28	22	27	28	25	27	20	23	25	0	23	18	23	20	19	19	18	23	24	23	28	25	21	21	28	20	23	23	21	20	26	30	28	31	22	19	26	21	23	22	4	14	24	24	31	21	24	22	24	28	22	21	28	19	24	24
607	17	19	27	20	20	18	26	18	25	28	26	25	18	27	27	0	24	22	22	25	22	24	19	23	21	23	26	27	23	22	26	18	24	25	23	25	25	16	25	34	22	25	23	21	22	23	4	14	24	21	34	20	26	24	24	25	27	23	29	23	22	24
20122	11	23	26	20	9	19	27	22	26	28	25	26	20	25	26	0	22	18	25	36	20	21	19	24	19	25	27	26	25	23	27	21	25	25	24	24	26	20	25	41	22	24	23	20	16	24	3	14	22	19	40	22	26	22	22	25	24	24	29	19	24	23
3873	3	21	22	19	0	21	30	21	28	31	20	27	24	19	22	0	26	23	21	47	25	20	17	27	19	14	30	24	26	18	30	24	24	27	24	25	28	30	30	48	24	25	28	20	10	24	1	5	26	24	45	17	24	18	26	30	16	24	31	25	18	27
38810	10	20	26	24	13	22	26	23	25	27	25	25	20	25	26	0	22	19	22	34	25	18	18	21	19	20	26	26	26	22	26	18	26	24	25	23	25	20	24	38	25	23	24	22	20	25	3	7	22	17	37	21	26	20	22	24	24	25	28	20	20	22
12751	12	23	26	23	13	22	27	18	26	28	26	26	18	22	26	0	19	23	21	23	21	20	19	22	18	20	27	26	24	25	27	25	25	23	23	22	25	23	26	31	21	22	22	19	22	23	3	12	20	17	31	17	25	23	19	26	20	23	28	18	25	25
8919	10	25	23	20	10	19	27	20	24	28	22	24	20	19	22	0	27	14	17	32	24	20	23	19	18	16	28	24	24	21	28	25	24	22	24	20	23	27	28	36	24	17	20	21	17	24	3	10	27	24	35	15	24	16	27	28	18	24	28	22	21	27
12761	11	21	21	22	2	20	28	16	26	30	20	24	18	19	21	0	26	19	19	52	26	12	18	21	17	13	29	23	16	15	29	29	23	23	18	20	26	28	29	52	23	20	28	14	17	23	3	22	28	23	48	16	23	15	27	29	18	18	31	28	16	29
32002	9	18	26	22	9	19	26	21	24	28	26	24	20	25	26	0	23	20	21	20	21	19	23	31	17	22	27	26	20	26	27	15	24	22	23	20	23	23	27	31	22	20	21	20	21	23	2	10	23	21	31	20	25	19	23	27	25	23	28	20	20	23
26288	17	17	23	18	19	19	25	19	25	26	23	25	19	21	23	0	21	22	20	26	21	17	18	21	20	21	25	23	20	20	25	18	22	22	20	19	25	21	24	32	21	19	26	19	21	21	4	16	22	22	32	20	23	21	22	24	19	20	26	16	19	22
40969	9	18	25	22	6	20	25	18	23	26	24	23	19	24	25	0	21	19	23	24	20	19	19	21	18	21	25	25	20	22	25	21	24	21	21	19	22	22	24	31	20	17	20	21	19	21	2	12	21	20	31	23	25	24	21	24	22	20	27	20	20	22
19560	10	20	25	21	9	18	26	21	25	27	25	25	15	24	25	0	20	17	23	22	20	17	19	24	21	23	26	25	26	24	26	19	24	21	23	18	24	17	25	31	21	17	23	18	19	23	3	11	24	22	31	20	25	20	23	25	23	23	27	24	23	24
21394	8	20	23	21	5	22	25	21	22	28	22	22	18	18	22	0	20	25	24	34	24	14	24	21	19	16	25	25	26	19	25	19	25	21	25	19	22	19	23	37	24	19	20	20	15	25	2	12	22	22	36	14	25	19	22	23	17	25	29	18	14	22
16763	11	19	22	20	12	19	25	19	23	26	21	23	19	20	22	0	23	19	20	27	20	20	19	23	19	20	25	22	19	20	25	22	22	22	20	21	23	22	25	32	20	21	21	20	16	21	3	10	23	17	32	18	22	19	23	25	19	19	26	21	19	24
15461	4	26	23	25	5	17	27	24	26	27	22	26	21	18	22	0	25	21	18	15	17	18	23	19	21	15	27	24	14	14	27	23	24	24	22	21	26	26	26	27	23	21	25	16	20	23	1	4	25	24	27	16	24	19	25	26	13	22	27	25	20	25
29387	11	20	20	21	18	16	26	16	25	28	19	25	14	17	19	0	22	19	19	61	18	18	17	20	22	13	26	21	15	14	26	20	21	22	20	21	24	20	25	58	18	21	24	20	17	20	3	5	25	18	53	15	21	14	23	25	16	17	29	27	20	25
20629	7	15	21	20	5	23	28	18	26	29	19	26	15	19	21	0	21	20	24	51	20	11	18	22	26	15	28	24	24	16	28	18	23	20	22	17	23	30	28	51	20	17	20	15	11	22	2	9	21	19	48	18	24	17	21	28	16	22	30	18	19	22
38183	18	18	22	16	21	18	23	20	22	24	22	22	17	21	22	0	18	20	20	20	20	20	19	19	20	16	23	22	18	21	23	18	21	21	19	20	22	20	22	27	20	19	19	17	17	20	5	16	18	17	27	19	22	18	18	22	19	19	24	18	17	19
17937	17	15	23	20	16	18	24	17	24	25	23	24	18	22	23	0	18	18	19	24	22	16	15	21	16	20	24	23	21	22	24	15	23	22	20	20	24	18	23	30	22	20	24	15	18	22	4	18	21	17	30	19	23	20	19	23	21	20	25	21	23	21
25779	8	20	21	20	8	17	25	18	24	25	21	24	19	19	21	0	19	16	17	27	16	20	16	19	21	16	25	21	18	18	25	17	21	22	18	20	24	24	24	31	18	19	23	18	19	19	2	9	20	20	31	17	21	17	20	24	17	18	25	17	21	20
16612	9	19	23	16	9	21	24	19	23	25	23	23	17	22	23	0	18	19	20	20	20	19	19	17	20	20	24	23	19	22	24	19	21	21	19	20	23	16	21	28	20	20	22	19	17	20	2	10	20	20	28	20	22	20	20	21	20	19	25	16	20	20
1637	10	19	21	17	9	14	23	18	23	23	20	23	21	20	21	0	16	16	19	21	19	18	18	20	19	18	23	21	22	18	23	20	21	22	21	19	23	14	22	27	19	18	21	18	17	21	3	11	20	20	27	18	21	18	20	22	19	21	23	19	21	21
20752	2	18	22	17	2	18	23	16	21	26	21	21	19	20	22	0	18	18	17	65	20	18	17	17	20	17	23	22	22	19	23	21	21	19	21	18	19	17	21	62	20	18	6	18	17	21	1	1	19	18	56	18	21	18	19	21	18	21	28	18	18	21
172	10	21	20	16	12	18	23	18	22	23	20	22	16	19	20	0	20	16	19	27	17	18	19	20	20	18	23	20	15	17	23	18	19	20	19	19	21	20	22	31	18	19	18	18	19	19	3	9	20	18	30	19	20	16	20	22	15	19	23	16	18	20
18812	22	14	19	18	25	16	23	17	23	23	17	23	12	17	19	0	24	16	17	27	15	14	16	20	18	9	23	19	16	12	23	17	19	19	19	16	23	22	23	29	17	16	24	19	14	19	6	20	23	23	28	16	19	17	23	23	14	17	23	18	20	23
34314	3	21	22	13	3	23	26	13	25	26	22	25	14	21	22	0	20	17	17	20	17	19	14	23	18	19	26	22	14	23	26	21	18	20	15	19	23	16	24	29	17	18	20	15	18	17	1	4	20	18	29	15	20	17	20	24	21	14	26	18	26	22
38476	10	19	21	19	8	22	23	18	22	23	21	22	20	19	21	0	15	19	18	19	16	17	16	18	15	17	23	21	18	19	23	15	20	21	18	19	22	15	20	26	18	19	20	17	21	18	3	12	16	15	26	17	21	17	16	20	16	18	23	16	21	17
36016	10	18	21	18	11	13	22	17	21	23	21	21	18	20	21	0	16	19	17	21	19	15	19	19	18	19	22	21	20	20	22	16	21	20	20	18	21	16	20	27	19	18	21	19	15	20	3	10	16	16	27	19	21	18	16	20	19	20	23	15	19	17
31669	8	17	21	15	9	16	22	14	21	22	21	21	17	21	21	0	20	14	16	20	17	17	19	21	17	14	22	21	16	19	22	19	19	20	19	19	21	19	22	25	17	19	18	18	19	19	2	8	22	19	25	21	20	18	21	22	20	19	22	22	18	22
20355	12	18	21	14	12	13	22	16	21	23	19	21	18	21	21	0	18	18	19	32	14	13	15	19	18	16	22	21	19	15	22	18	19	20	18	18	21	17	21	34	16	18	18	15	14	18	3	12	20	20	33	19	20	19	20	21	20	18	24	19	19	20
689	14	13	20	20	25	15	21	14	21	22	20	21	17	19	20	0	16	18	17	17	16	20	16	21	20	17	21	20	16	16	21	18	20	21	16	20	21	15	21	25	16	19	19	16	20	17	4	5	18	15	25	15	20	15	17	21	19	16	22	18	16	19
27952	14	18	20	12	12	12	22	8	20	24	20	20	14	14	18	0	22	18	14	42	17	16	14	14	14	13	23	20	26	22	23	23	19	20	19	20	20	21	23	42	17	20	19	18	16	19	4	17	22	21	39	10	19	12	22	23	13	19	25	21	17	23
3965	19	16	20	15	17	14	20	16	18	22	20	18	14	17	20	0	18	18	16	26	21	17	16	15	15	16	20	20	18	21	20	13	20	17	19	17	17	20	20	29	20	17	15	19	15	20	5	21	18	14	28	14	20	16	18	20	16	18	22	15	14	18
2418	13	17	20	15	15	15	21	15	20	22	20	20	16	19	20	0	18	17	17	21	14	13	14	18	15	17	21	20	17	19	21	14	18	19	16	17	20	17	20	26	15	17	19	14	16	16	3	12	18	17	26	18	19	18	18	20	18	16	22	18	19	18
36096	11	17	19	15	11	15	21	15	20	21	19	20	15	18	19	0	18	16	17	18	16	15	17	18	16	19	21	19	16	17	21	16	18	18	17	17	19	18	20	25	16	17	16	16	15	17	3	11	18	15	25	17	19	17	18	20	17	17	21	17	18	18
27516	6	16	19	18	7	16	20	17	20	21	19	20	18	18	19	0	17	15	16	24	15	18	15	15	17	15	20	19	15	16	20	14	19	20	16	18	20	16	19	27	17	16	18	16	19	17	1	5	18	19	27	16	19	17	18	19	16	15	21	16	17	18
14339	7	13	21	15	7	17	21	19	21	22	21	21	16	20	21	0	15	16	21	16	19	16	17	13	21	16	20	21	19	17	21	15	20	18	19	16	19	17	18	24	19	16	15	16	19	19	2	8	17	13	24	15	21	16	15	18	20	19	22	17	17	17
34827	11	17	20	15	11	15	20	16	19	21	19	19	14	20	20	0	15	15	16	20	18	13	17	16	14	17	20	20	17	18	20	13	18	18	17	18	19	18	19	25	18	18	19	16	13	18	3	12	15	14	25	19	19	17	15	19	20	17	21	14	17	16
28796	11	17	19	19	9	16	20	13	19	21	19	19	16	17	19	0	16	15	19	26	14	15	12	14	16	18	20	19	16	13	20	14	19	17	16	16	18	16	18	29	14	16	16	15	18	16	3	13	18	19	29	16	19	13	18	18	15	16	22	16	16	18
38694	11	15	20	17	9	14	19	16	19	20	20	19	13	20	20	0	13	13	18	22	17	12	15	17	14	15	19	20	21	19	19	15	20	17	19	15	19	15	18	26	17	15	19	16	12	19	3	13	17	17	26	16	20	16	17	18	20	19	21	17	18	17
40648	6	14	19	19	10	17	20	14	20	21	19	20	15	17	19	0	16	17	14	20	17	15	17	19	17	15	20	19	19	17	20	14	19	18	18	17	19	16	19	25	17	17	18	16	14	18	1	3	16	16	25	15	19	16	16	19	16	18	21	15	18	16
39434	10	15	18	13	10	14	19	16	19	20	17	19	15	17	18	0	17	16	17	19	18	17	17	16	15	16	19	18	16	15	19	12	18	18	17	17	19	16	18	24	18	16	17	17	13	18	3	11	17	16	24	16	18	18	17	18	16	17	20	13	17	17
1681	9	15	19	17	9	13	19	17	19	20	19	19	17	18	19	0	13	14	20	18	17	13	18	15	15	16	19	19	15	17	19	13	19	19	18	17	19	15	17	23	17	17	18	17	15	18	2	10	15	15	23	17	19	15	15	17	17	18	20	15	17	15
12100	11	22	14	12	11	14	22	16	22	21	13	22	19	12	14	0	19	10	13	13	14	19	16	14	16	11	22	16	14	10	22	19	16	22	16	23	22	20	21	21	16	26	20	13	11	16	3	11	21	21	21	10	16	12	21	21	11	16	21	18	21	21
933	5	15	19	17	4	14	19	14	19	20	19	19	16	19	19	0	18	14	17	18	15	14	16	16	13	16	19	19	17	18	19	16	18	18	17	15	19	16	18	23	15	14	19	16	16	17	1	7	18	17	23	18	19	16	18	18	18	17	20	13	17	18
26158	7	15	17	15	8	19	20	16	20	20	17	20	21	15	17	0	18	16	15	15	15	16	15	14	17	15	20	17	14	13	20	18	17	20	15	17	20	14	18	22	16	16	18	13	17	16	2	7	18	18	22	14	17	16	18	18	14	15	20	16	14	18
5317	15	14	18	13	11	14	19	15	18	20	18	18	14	17	18	0	15	16	16	23	15	15	12	16	14	16	19	18	16	14	19	13	17	17	17	15	18	13	18	26	16	15	17	17	16	17	4	20	17	17	26	16	18	16	17	18	16	16	20	17	16	17
34859	11	17	18	17	10	18	19	15	18	19	18	18	18	18	18	0	17	12	16	7	16	12	16	17	15	16	19	18	18	17	19	13	18	18	18	16	18	19	19	20	16	16	14	17	14	18	3	13	17	14	20	18	18	15	17	19	17	18	19	16	15	17
32683	7	15	17	15	7	18	20	14	19	20	17	19	15	17	17	0	18	15	15	24	13	15	16	17	15	16	20	17	16	15	20	11	17	17	16	16	18	15	19	27	14	16	17	16	15	16	2	7	18	16	27	16	17	15	18	19	17	16	20	17	17	18
23773	17	13	18	18	16	13	18	18	17	22	17	17	12	15	17	0	15	22	16	20	22	12	17	14	15	16	18	20	18	14	18	14	20	15	18	14	16	14	17	25	20	14	13	18	14	20	4	18	16	11	25	13	20	12	15	17	13	18	22	16	14	16
9569	22	13	18	13	21	16	21	9	21	23	18	20	10	17	18	0	14	19	13	34	12	15	12	17	15	15	21	18	18	15	21	12	16	17	16	15	21	19	19	35	12	10	24	15	16	16	6	24	14	12	34	16	17	15	14	19	16	16	23	13	15	15
18204	9	13	19	16	10	15	19	14	19	20	18	19	13	19	19	0	17	14	17	21	15	11	15	17	14	16	19	19	18	16	19	15	19	17	18	16	19	14	18	25	15	16	19	17	12	18	2	9	17	16	25	19	19	17	17	18	18	18	20	15	17	17
23159	8	15	18	14	6	15	20	16	20	21	17	19	14	16	18	0	16	15	17	33	15	16	13	15	16	15	20	18	16	16	20	16	17	18	16	16	20	15	18	34	16	14	21	14	12	16	2	10	16	16	33	14	18	16	16	18	15	16	22	15	13	17
5582	9	19	19	17	7	14	20	16	18	20	19	18	15	17	19	0	19	15	18	14	17	11	18	17	15	13	20	19	22	17	20	14	19	16	19	12	17	18	20	21	17	12	15	14	15	19	2	11	19	18	21	15	19	16	19	20	16	19	20	15	14	19
24398	9	13	18	15	9	17	18	15	17	19	18	17	14	17	18	0	13	15	15	16	15	16	18	14	15	17	18	18	15	15	18	15	18	17	17	16	17	14	16	22	16	15	15	16	15	17	2	9	15	13	22	16	18	17	14	16	15	17	19	15	15	15
20656	9	16	18	14	9	15	19	15	17	20	18	17	15	15	17	0	16	19	15	16	17	15	17	13	13	16	19	18	15	14	19	14	17	17	17	17	17	16	18	23	17	17	16	16	19	17	2	10	17	17	23	13	17	14	17	18	13	17	20	16	14	17
